Package Name,Title,CRAN,Abstract,Version,Depends,Imports,Suggests
backports,backports: Reimplementations of Functions Introduced Since R-3.0.0,OK,"Implementations of functions which have been introduced in
    R since version 3.0.0. The backports are conditionally exported which
    results in R resolving the function names to the version shipped with R (if
    available) and uses the implemented backports as fallback. This way package
    developers can make use of the new functions without worrying about the
    minimum required R version.",1.1.2,R (≥ 3.0.0),utils,NA
base64enc,base64enc: Tools for base64 encoding,OK,This package provides tools for handling base64 encoding. It is more flexible than the orphaned base64 package.,0.1-3,R (≥ 2.9.0),NA,NA
bayesm,bayesm: Bayesian Inference for Marketing/Micro-Econometrics,OK,"Covers many important models used
  in marketing and micro-econometrics applications. 
  The package includes:
  Bayes Regression (univariate or multivariate dep var),
  Bayes Seemingly Unrelated Regression (SUR),
  Binary and Ordinal Probit,
  Multinomial Logit (MNL) and Multinomial Probit (MNP),
  Multivariate Probit,
  Negative Binomial (Poisson) Regression,
  Multivariate Mixtures of Normals (including clustering),
  Dirichlet Process Prior Density Estimation with normal base,
  Hierarchical Linear Models with normal prior and covariates,
  Hierarchical Linear Models with a mixture of normals prior and covariates,
  Hierarchical Multinomial Logits with a mixture of normals prior
     and covariates,
  Hierarchical Multinomial Logits with a Dirichlet Process prior and covariates,
  Hierarchical Negative Binomial Regression Models,
  Bayesian analysis of choice-based conjoint data,
  Bayesian treatment of linear instrumental variables models,
  Analysis of Multivariate Ordinal survey data with scale
     usage heterogeneity (as in Rossi et al, JASA (01)),
  Bayesian Analysis of Aggregate Random Coefficient Logit Models as in BLP (see
  Jiang, Manchanda, Rossi 2009)
  For further reference, consult our book, Bayesian Statistics and
  Marketing by Rossi, Allenby and McCulloch (Wiley 2005) and Bayesian Non- and Semi-Parametric
  Methods and Applications (Princeton U Press 2014).",3.1-0.1,R (≥ 3.2.0),"Rcpp (≥ 0.12.0), utils, stats, graphics, grDevices","knitr, rmarkdown"
bdsmatrix,bdsmatrix: Routines for Block Diagonal Symmetric Matrices,OK,"This is a special case of sparse matrices, used by coxme. ",1.3-3,"methods, R (≥ 2.0.0)",NA,NA
Benchmarking,Benchmarking: Benchmark and Frontier Analysis Using DEA and SFA,OK,"Methods for frontier
	analysis, Data Envelopment Analysis (DEA), under different
	technology assumptions (fdh, vrs, drs, crs, irs, add/frh, and fdh+),
	and using different efficiency measures (input based, output based,
	hyperbolic graph, additive, super, and directional efficiency). Peers
	and slacks are available, partial price information can be included,
	and optimal cost, revenue and profit can be calculated. Evaluation of
	mergers is also supported.  Methods for graphing the technology sets
	are also included. There is also support comparative methods based
	on Stochastic Frontier Analyses (SFA). In general, the methods can be
	used to solve not only standard models, but also many other model
	variants. It complements the book, Bogetoft and Otto,
	Benchmarking with DEA, SFA, and R, Springer-Verlag, 2011, but can of
	course also be used as a stand-alone package.",0.27,"lpSolveAPI, ucminf","methods, stats, graphics, grDevices",NA
BH,BH: Boost C++ Header Files,OK,"Boost provides free peer-reviewed portable C++ source 
 libraries.  A large part of Boost is provided as C++ template code
 which is resolved entirely at compile-time without linking.  This 
 package aims to provide the most useful subset of Boost libraries 
 for template use among CRAN package. By placing these libraries in 
 this package, we offer a more efficient distribution system for CRAN 
 as replication of this code in the sources of other packages is 
 avoided. As of release 1.65.0-1, the following Boost libraries are
 included: 'algorithm' 'align' 'any' 'atomic' 'bimap' 'bind'
 'circular_buffer' 'compute' 'concept' 'config' 'container' 'date'_'time'
 'detail' 'dynamic_bitset' 'exception' 'filesystem' 'flyweight' 'foreach'
 'functional' 'fusion' 'geometry' 'graph' 'heap' 'icl' 'integer'
 'interprocess' 'intrusive' 'io' 'iostreams' 'iterator' 'math' 'move' 'mpl'
 'multiprcecision' 'numeric' 'pending' 'phoenix' 'preprocessor'
 'propery_tree' 'random' 'range' 'scope_exit' 'smart_ptr' 'sort' 'spirit'
 'tuple' 'type_traits' 'typeof' 'unordered' 'utility' 'uuid'.",1.66.0-1,NA,NA,NA
bit,bit: A Class for Vectors of 1-Bit Booleans,OK,"True boolean datatype (no NAs), 
  coercion from and to logicals, integers and integer subscripts; 
  fast boolean operators and fast summary statistics. 
  With 'bit' vectors you can store true binary booleans {FALSE,TRUE} at the 
  expense of 1 bit only, on a 32 bit architecture this means factor 32 less 
  RAM and ~ factor 32 more speed on boolean operations. Due to overhead of 
  R calls, actual speed gain depends on the size of the vector: expect gains 
  for vectors of size > 10000 elements. Even for one-time boolean operations 
  it can pay-off to convert to bit, the pay-off is obvious, when such 
  components are used more than once. 
  Reading from and writing to bit is approximately as fast as accessing 
  standard logicals - mostly due to R's time for memory allocation. The package 
  allows to work with pre-allocated memory for return values by calling .Call() 
  directly: when evaluating the speed of C-access with pre-allocated vector 
  memory, coping from bit to logical requires only 70% of the time for copying 
  from logical to logical; and copying from logical to bit comes at a 
  performance penalty of 150%. the package now contains further classes for 
  representing logical selections: 'bitwhich' for very skewed selections and 
  'ri' for selecting ranges of values for chunked processing. All three index 
  classes can be used for subsetting 'ff' objects (ff-2.1-0 and higher).",1.1-14,R (≥ 2.9.2),NA,NA
bit64,bit64: A S3 Class for Vectors of 64bit Integers,OK,"
 Package 'bit64' provides serializable S3 atomic 64bit (signed) integers. 
 These are useful for handling database keys and exact counting in +-2^63.
 WARNING: do not use them as replacement for 32bit integers, integer64 are not
 supported for subscripting by R-core and they have different semantics when 
 combined with double, e.g. integer64 + double => integer64. 
 Class integer64 can be used in vectors, matrices, arrays and data.frames. 
 Methods are available for coercion from and to logicals, integers, doubles, 
 characters and factors as well as many elementwise and summary functions. 
 Many fast algorithmic operations such as 'match' and 'order' support inter-
 active data exploration and manipulation and optionally leverage caching.",0.9-7,"R (≥ 3.0.1), bit (≥ 1.1-12), utils, methods, stats",NA,NA
bitops,bitops: Bitwise Operations,OK,Functions for bitwise operations on integer vectors.,1.0-6,NA,NA,NA
caTools,"caTools: Tools: moving window statistics, GIF, Base64, ROC AUC, etc",OK,"Contains several basic utility functions including: moving
        (rolling, running) window statistic functions, read/write for
        GIF and ENVI binary files, fast calculation of AUC, LogitBoost
        classifier, base64 encoder/decoder, round-off-error-free sum
        and cumsum, etc.",1.17.1.1,R (≥ 2.2.0),bitops,"MASS, rpart"
checkmate,checkmate: Fast and Versatile Argument Checks,OK,"Tests and assertions to perform frequent argument checks. A
    substantial part of the package was written in C to minimize any worries
    about execution time overhead.",1.8.5,R (≥ 3.0.0),"backports (≥ 1.1.0), utils","R6, bit, fastmatch, data.table (≥ 1.9.8), devtools, ggplot2, knitr, magrittr, microbenchmark, rmarkdown, testthat (≥
0.11.0), tibble"
chron,chron: Chronological Objects which can Handle Dates and Times,OK,Provides chronological objects which can handle dates and times.,2.3-52,R (≥ 2.12.0),"graphics, stats","scales, ggplot2"
clusterSim,clusterSim: Searching for Optimal Clustering Procedure for a Data Set,OK,"Distance measures (GDM1, GDM2,	Sokal-Michener, Bray-Curtis, for symbolic interval-valued data), cluster quality indices (Calinski-Harabasz, Baker-Hubert, Hubert-Levine, Silhouette, Krzanowski-Lai, Hartigan, Gap,	Davies-Bouldin),	data normalization formulas (metric data, interval-valued symbolic data), data generation (typical and non-typical data), HINoV method,	replication analysis, linear ordering methods, spectral clustering, agreement indices between two partitions, plot functions (for categorical and symbolic interval-valued data). 
 (MILLIGAN, G.W., COOPER, M.C. (1985) <doi:10.1007/BF02294245>, 
 HUBERT, L., ARABIE, P. (1985), <doi:10.1007%2FBF01908075>, 
 RAND, W.M. (1971) <doi:10.1080/01621459.1971.10482356>, 
 JAJUGA, K., WALESIAK, M. (2000) <doi:10.1007/978-3-642-57280-7_11>, 
 MILLIGAN, G.W., COOPER, M.C. (1988) <doi:10.1007/BF01897163>, 
 CORMACK, R.M. (1971) <doi:10.2307/2344237>, 
 JAJUGA, K., WALESIAK, M., BAK, A. (2003) <doi:10.1007/978-3-642-55721-7_12>, 
 CARMONE, F.J., KARA, A., MAXWELL, S. (1999) <doi:10.2307/3152003>, 
 DAVIES, D.L., BOULDIN, D.W. (1979) <doi:10.1109/TPAMI.1979.4766909>, 
 CALINSKI, T., HARABASZ, J. (1974) <doi:10.1080/03610927408827101>,
 HUBERT, L. (1974) <doi:10.1080/01621459.1974.10480191>, 
 TIBSHIRANI, R., WALTHER, G., HASTIE, T. (2001) <doi:10.1111/1467-9868.00293>, 
 KRZANOWSKI, W.J., LAI, Y.T. (1988) <doi:10.2307/2531893>, 
 BRECKENRIDGE, J.N. (2000) <doi:10.1207/S15327906MBR3502_5>, 
 WALESIAK, M., DUDEK, A. (2008) <doi:10.1007/978-3-540-78246-9_11>).",0.47-1,"cluster, MASS","ade4, e1071, rgl, R2HTML, modeest, grDevices, graphics, stats, utils","mlbench, testthat"
coda,coda: Output Analysis and Diagnostics for MCMC,OK,"Provides functions for summarizing and plotting the
	output from Markov Chain Monte Carlo (MCMC) simulations, as
	well as diagnostic tests of convergence to the equilibrium
	distribution of the Markov chain.",0.19-1,R (≥ 2.14.0),lattice,NA
codetools,codetools: Code Analysis Tools for R,OK,Code analysis tools for R.,0.2-15,R (≥ 2.1),NA,NA
colorspace,colorspace: Color Space Manipulation,OK,"Carries out mapping between assorted color spaces including
             RGB, HSV, HLS, CIEXYZ, CIELUV, HCL (polar CIELUV),
	     CIELAB and polar CIELAB. Qualitative, sequential, and
	     diverging color palettes based on HCL colors are provided
	     along with an interactive palette picker (with either a Tcl/Tk
	     or a shiny GUI).",1.3-2,"R (≥ 2.13.0), methods","graphics, grDevices","datasets, stats, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd, dichromat, tcltk, shiny, shinyjs"
combinat,combinat: combinatorics utilities,OK,routines for combinatorics,0.0-8,NA,NA,NA
conf.design,conf.design: Construction of factorial designs,OK,"This small library contains a series of simple tools for
        constructing and manipulating confounded and fractional
        factorial designs.",2.0.0,NA,NA,"stats, utils"
conjoint,conjoint: An Implementation of Conjoint Analysis Method,OK,This is a simple R package that allows to measure the stated preferences using traditional conjoint analysis method.,1.41,NA,"AlgDesign, stats, grDevices, graphics, fpc, broom, ggplot2, cluster, ggfortify",NA
corpcor,corpcor: Efficient Estimation of Covariance and (Partial) Correlation,OK,"Implements a James-Stein-type shrinkage estimator for 
  the covariance matrix, with separate shrinkage for variances and correlations.  
  The details of the method are explained in Schafer and Strimmer (2005) 
  <doi:10.2202/1544-6115.1175> and Opgen-Rhein and Strimmer (2007) 
  <doi:10.2202/1544-6115.1252>.  The approach is both computationally as well
  as statistically very efficient, it is applicable to ""small n, large p"" data, 
  and always returns a positive definite and well-conditioned covariance matrix.  
  In addition to inferring the covariance matrix the package also provides 
  shrinkage estimators for partial correlations and partial variances.  
  The inverse of the covariance and correlation matrix 
  can be efficiently computed, as well as any arbitrary power of the 
  shrinkage correlation matrix.  Furthermore, functions are available for fast 
  singular value decomposition, for computing the pseudoinverse, and for 
  checking the rank and positive definiteness of a matrix.",1.6.9,R (≥ 3.0.2),stats,NA
curl,curl: A Modern and Flexible Web Client for R,OK,"The curl() and curl_download() functions provide highly
    configurable drop-in replacements for base url() and download.file() with
    better performance, support for encryption (https, ftps), gzip compression,
    authentication, and other 'libcurl' goodies. The core of the package implements a
    framework for performing fully customized requests where data can be processed
    either in memory, on disk, or streaming via the callback or connection
    interfaces. Some knowledge of 'libcurl' is recommended; for a more-user-friendly
    web client see the 'httr' package which builds on this package with http
    specific tools and logic.",3.2,R (≥ 3.0.0),NA,"spelling, testthat (≥ 1.0.0), knitr, jsonlite, rmarkdown, magrittr, httpuv, webutils"
d3Network,"d3Network: Tools for creating D3 JavaScript network, tree, dendrogram, and
Sankey graphs from R",OK,"This packages is intended to make it easy to create D3 JavaScript
    network, tree, dendrogram, and Sankey graphs from R using data frames.
    !!! NOTE: Active development has moved to the networkD3 package. !!!",0.5.2.1,R (≥ 3.0.0),"plyr, rjson, whisker",RCurl
data.table,data.table: Extension of 'data.frame',OK,"Fast aggregation of large data (e.g. 100GB in RAM), fast ordered joins, fast add/modify/delete of columns by group using no copies at all, list columns, friendly and fast character-separated-value read/write. Offers a natural and flexible syntax, for faster development.",1.11.4,R (≥ 3.1.0),methods,"bit64, curl, knitr, xts, nanotime, zoo, reshape2"
DBI,DBI: R Database Interface,OK,"A database interface definition for communication
    between R and relational database management systems.  All
    classes in this package are virtual and need to be extended by
    the various R/DBMS implementations.",1.0.0,"R (≥ 3.0.0), methods",NA,"blob, covr, hms, knitr, magrittr, rprojroot, rmarkdown, RSQLite (≥ 1.1-2), testthat, xml2"
devtools,devtools: Tools to Make Developing R Packages Easier,OK,Collection of package development tools.,1.13.6,R (≥ 3.0.2),"httr (≥ 0.4), utils, tools, methods, memoise (≥ 1.0.0), whisker, digest, rstudioapi (≥ 0.2.0), jsonlite, stats, git2r (≥ 0.11.0), withr","curl (≥ 0.9), crayon, testthat (≥ 1.0.2), BiocInstaller, Rcpp (≥ 0.10.0), MASS, rmarkdown, knitr, hunspell (≥ 2.0), lintr (≥ 0.2.1), bitops, roxygen2 (≥ 5.0.0), evaluate, rversions, covr, gmailr (> 0.7.0)"
dichromat,dichromat: Color Schemes for Dichromats,OK,"Collapse red-green or green-blue distinctions to simulate
        the effects of different types of color-blindness.",2.0-0,"R (≥ 2.10), stats",NA,NA
digest,digest: Create Compact Hash Digests of R Objects,OK,"Implementation of a function 'digest()' for the creation 
 of hash digests of arbitrary R objects (using the 'md5', 'sha-1', 'sha-256', 
 'crc32', 'xxhash' and 'murmurhash' algorithms) permitting easy comparison of R
 language objects, as well as a function 'hmac()' to create hash-based
 message authentication code. Please note that this package is not meant to
 be deployed for cryptographic purposes for which more comprehensive (and
 widely tested) libraries such as 'OpenSSL' should be used.",0.6.16,R (≥ 3.1.0),NA,"knitr, rmarkdown"
DoE.base,"DoE.base: Full Factorials, Orthogonal Arrays and Base Utilities for DoE
Packages",OK,"Creates full factorial experimental designs and designs based on orthogonal arrays for (industrial) experiments. Provides diverse quality criteria. Provides utility functions for the class design, which is also used by other packages for designed experiments.",1.1-1,"R (≥ 2.10), grid, conf.design","stats, utils, graphics, grDevices, vcd, combinat, MASS, lattice, numbers, partitions",RColorBrewer
doParallel,doParallel: Foreach Parallel Adaptor for the 'parallel' Package,OK,"Provides a parallel backend for the %dopar% function using
        the parallel package.",1.0.11,"R (≥ 2.14.0), foreach (≥ 1.2.0), iterators (≥ 1.0.0), parallel, utils",NA,"caret, mlbench, rpart"
dplyr,dplyr: A Grammar of Data Manipulation,OK,"A fast, consistent tool for working with data frame like objects,
    both in memory and out of memory.",0.7.6,R (≥ 3.1.2),"assertthat (≥ 0.2.0), bindrcpp (≥ 0.2.0.9000), glue (≥
1.1.1), magrittr (≥ 1.5), methods, pkgconfig (≥ 2.0.1), R6 (≥ 2.2.2), Rcpp (≥ 0.12.15), rlang (≥ 0.2.0), tibble (≥
1.3.1), tidyselect (≥ 0.2.3), utils","bit64 (≥ 0.9.7), callr, covr (≥ 3.0.1), DBI (≥ 0.7.14), dbplyr (≥ 1.2.0), dtplyr (≥ 0.0.2), ggplot2 (≥ 2.2.1), hms (≥ 0.4.1), knitr (≥ 1.19), Lahman (≥ 3.0-1), lubridate, MASS, mgcv (≥ 1.8.23), microbenchmark (≥ 1.4.4), nycflights13 (≥ 0.2.2), rmarkdown (≥ 1.8), RMySQL (≥ 0.10.13), RPostgreSQL (≥ 0.6.2), RSQLite (≥ 2.0), testthat (≥ 2.0.0), withr (≥ 2.1.1)"
dse,dse: Dynamic Systems Estimation (Time Series Package),OK,"Tools for multivariate, linear, time-invariant,
	time series models. This includes ARMA and state-space representations,
	and methods for converting between them. It also includes simulation
	methods and several estimation functions. The package has functions 
	for looking at model roots, stability, and forecasts at different 
	horizons. The ARMA model representation is general, so that VAR, VARX, 
	ARIMA, ARMAX, ARIMAX can all be considered to be special cases. Kalman
	filter and smoother estimates can be obtained from the state space
	model, and state-space model reduction techniques are implemented. 
	An introduction and User's Guide is available in a vignette.",2015.12-1,"R (≥ 2.5.0), tfplot","tframe (≥ 2007.5-3), stats, utils, graphics, grDevices, setRNG (≥ 2004.4-1)",NA
e1071,"e1071: Misc Functions of the Department of Statistics, Probability
Theory Group (Formerly: E1071), TU Wien",OK,"Functions for latent class analysis, short time Fourier
	     transform, fuzzy clustering, support vector machines,
	     shortest path computation, bagged clustering, naive Bayes
	     classifier, ...",1.7-0,NA,"graphics, grDevices, class, stats, methods, utils","cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable, Matrix, MASS"
effects,"effects: Effect Displays for Linear, Generalized Linear, and Other Models",OK,"
  Graphical and tabular effect displays, e.g., of interactions, for 
  various statistical models with linear predictors.",4.0-3,"R (≥ 3.5.0), carData","lme4, nnet, lattice, grid, colorspace, graphics, grDevices, stats, survey, utils, estimability","pbkrtest (≥ 0.4-4), nlme, MASS, poLCA, heplots, splines, ordinal, car, knitr"
ellipse,"ellipse: Functions for Drawing Ellipses and Ellipse-Like Confidence
Regions",OK,"Contains various routines for drawing
    ellipses and ellipse-like confidence regions, implementing the plots
    described in Murdoch and Chow (1996), A graphical display of large
    correlation matrices, The American Statistician 50, 178-180. There are
    also routines implementing the profile plots described in Bates and
    Watts (1988), Nonlinear Regression Analysis and its Applications.",0.4.1,"R (≥ 2.0.0), graphics, stats",NA,MASS
evaluate,"evaluate: Parsing and Evaluation Tools that Provide More Details than the
Default",OK,"Parsing and evaluation tools that make it easy to recreate the
    command line behaviour of R.",0.11,R (≥ 3.0.2),"methods, stringr (≥ 0.6.2)","testthat, lattice, ggplot2"
FactoMineR,FactoMineR: Multivariate Exploratory Data Analysis and Data Mining,OK,"Exploratory data analysis methods to summarize, visualize and describe datasets. The main principal component methods are available, those with the largest potential in terms of applications: principal component analysis (PCA) when variables are quantitative, correspondence analysis (CA) and multiple correspondence analysis (MCA) when variables are categorical, Multiple Factor Analysis when variables are structured in groups, etc. and hierarchical cluster analysis. F. Husson, S. Le and J. Pages (2017) <doi:10.1201/b10345-2>.",1.41,R (≥ 3.0.0),"car, cluster, ellipse, flashClust, graphics, grDevices, lattice, leaps, MASS, scatterplot3d, stats, utils","missMDA, knitr"
fBasics,fBasics: Rmetrics - Markets and Basic Statistics,OK,"Provides a collection of functions to 
    explore and to investigate basic properties of financial returns 
    and related quantities.
    The covered fields include techniques of explorative data analysis
    and the investigation of distributional properties, including
    parameter estimation and hypothesis testing. Even more there are
    several utility functions for data handling and management.",3042.89,"R (≥ 2.15.1), timeDate, timeSeries","stats, grDevices, graphics, methods, utils, MASS, spatial, gss, stabledist","akima, RUnit, tcltk"
fdrtool,fdrtool: Estimation of (Local) False Discovery Rates and Higher Criticism,OK,"Estimates both tail area-based false 
   discovery rates (Fdr) as well as local false discovery rates (fdr) for a 
   variety of null models (p-values, z-scores, correlation coefficients,
   t-scores).  The proportion of null values and the parameters of the null 
   distribution are adaptively estimated from the data.  In addition, the package 
   contains functions for non-parametric density estimation (Grenander estimator), 
   for monotone regression (isotonic regression and antitonic regression with weights),
   for computing the greatest convex minorant (GCM) and the least concave majorant (LCM), 
   for the half-normal and correlation distributions, and for computing
   empirical higher criticism (HC) scores and the corresponding decision threshold.",1.2.15,R (≥ 3.0.2),"graphics, grDevices, stats",NA
fGarch,fGarch: Rmetrics - Autoregressive Conditional Heteroskedastic Modelling,OK,"Provides a collection of functions to 
  analyze and model heteroskedastic behavior in financial time
  series models.",3042.83,"R (≥ 2.15.1), timeDate, timeSeries, fBasics","fastICA, Matrix, graphics, methods, stats, utils","RUnit, tcltk"
flashClust,flashClust: Implementation of optimal hierarchical clustering,OK,Fast implementation of hierarchical clustering,1.01-2,R (≥ 2.3.0),NA,NA
foreach,foreach: Provides Foreach Looping Construct for R,OK,"Support for the foreach looping construct.  Foreach is an
        idiom that allows for iterating over elements in a collection,
        without the use of an explicit loop counter.  This package in
        particular is intended to be used for its return value, rather
        than for its side effects.  In that sense, it is similar to the
        standard lapply function, but doesn't require the evaluation
        of a function.  Using foreach without side effects also
        facilitates executing the loop in parallel.",1.4.4,R (≥ 2.5.0),"codetools, utils, iterators",randomForest
forecast,forecast: Forecasting Functions for Time Series and Linear Models,OK,"Methods and tools for displaying and analysing
             univariate time series forecasts including exponential smoothing
             via state space models and automatic ARIMA modelling.",8.4,R (≥ 3.0.2),"colorspace, fracdiff, ggplot2 (≥ 2.2.1), graphics, lmtest, magrittr, nnet, parallel, Rcpp (≥ 0.11.0), stats, timeDate, tseries, urca, uroot, zoo","expsmooth, knitr, rmarkdown, rticles, testthat"
formatR,formatR: Format R Code Automatically,OK,"Provides a function tidy_source() to format R source code. Spaces
    and indent will be added to the code automatically, and comments will be
    preserved under certain conditions, so that R code will be more
    human-readable and tidy. There is also a Shiny app as a user interface in
    this package (see tidy_app()).",1.5,R (≥ 3.0.2),NA,"codetools, shiny, testit, rmarkdown, knitr"
Formula,Formula: Extended Model Formulas,OK,"Infrastructure for extended formulas with multiple parts on the
             right-hand side and/or multiple responses on the left-hand side
	     (see <doi:10.18637/jss.v034.i01>).",1.2-3,"R (≥ 2.0.0), stats",NA,NA
fracdiff,"fracdiff: Fractionally differenced ARIMA aka ARFIMA(p,d,q) models",OK,"Maximum likelihood estimation of the parameters of a
        fractionally differenced ARIMA(p,d,q) model (Haslett and
        Raftery, Appl.Statistics, 1989).",1.4-2,NA,NA,"longmemo, urca"
fUnitRoots,fUnitRoots: Rmetrics - Modelling Trends and Unit Roots,OK,"Provides four addons for analyzing trends and
    unit roots in financial time series: (i) functions for the density
    and probability of the augmented Dickey-Fuller Test, (ii) functions 
    for the density and probability of MacKinnon's unit root test 
    statistics, (iii) reimplementations for the ADF and MacKinnon
    Test, and (iv) an 'urca' Unit Root Test Interface for Pfaff's
    unit root test suite.",3042.79,"R (≥ 2.15.1), timeDate, timeSeries, fBasics","urca, graphics, methods, stats, utils",RUnit
gam,gam: Generalized Additive Models,OK,"Functions for fitting and working with generalized
		additive models, as described in chapter 7 of ""Statistical Models in
		S"" (Chambers and Hastie (eds), 1991), and ""Generalized Additive
		Models"" (Hastie and Tibshirani, 1990).",1.16,"stats, splines, foreach",NA,akima
ggm,ggm: Functions for graphical Markov models,OK,Functions and datasets for maximum likelihood fitting of some classes of graphical Markov models.,2.3,igraph,NA,NA
glasso,glasso: Graphical Lasso: Estimation of Gaussian Graphical Models,OK,"Estimation of a sparse inverse covariance matrix using a lasso (L1)
             penalty. Facilities are provided for estimates along a path of values
	     for the regularization parameter.",1.10,NA,NA,NA
